"?COMPANY","INDUSTRY","STREET","CITY","STATE","ZIP","PHONE","ERROR"
"House of Blues Boston","Food & Beverage","15 Lansdowne St","Boston","MA","2215","8886932583","Id not specified in an update call"
"Tallahassee Summer Rocks!","Entertainment","1688 Morgan St","Tallahassee","FL","32303","850-514-1987","Id not specified in an update call"
"The Turning Rocks","Entertainment","147 Saint Marys Avenue","Syracuse","NY","13202","315-835-3415","Id not specified in an update call"
"Fathom Events","Entertainment","2338 Argonne Street","Philadelphia","DE","19103","302-338-1342","Id not specified in an update call"
"Asian Culture Initiative of Arizona","Not for Profit","4560 Skips Lane","Somerton","AZ","85350","928-627-8784","Id not specified in an update call"
"Greenfield Garden Cinemas","Entertainment","361 Main Street","Greenfield","MA","1301","413-774-4881","Id not specified in an update call"
"City of Greenbelt","Government","1042 Wilmar Farm Rd","Greenbelt","MD","20770","240-281-4627","Id not specified in an update call"
"Mineral Wells High School","Education","1875 Alexander Drive","Mineral Wells","TX","76067","940-325-9173","Id not specified in an update call"
"Mall Grand Rapids","Retail","317 Echo Lane","Grand Rapids","MI","49503","269-720-2841","Id not specified in an update call"
"Clay Estates HOA","Not For Profit","2001 Rowes Lane","Clay","KY","42404","270-664-2305","Id not specified in an update call"
"Vermont Syrup and Rap Festival","Entertainment","1190 Buck Dr","Bradford","VT","5033","802-222-5028","Id not specified in an update call"
"Corn Field Hay Ride and Barn Dance","Agriculture","2564 Nutters Barn Lane","Ames","IA","50010","515-817-6155","Id not specified in an update call"
